main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37578.398438668504, 15640.156039037422] (2) [37211, 15780]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37578.398438668504, 15640.156039037422] (2) [37080, 15777]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37570.53802894663, 15642.580038717831] (2) [37080, 15777]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37570.53802894663, 15642.580038717831] (2) [37034, 15788]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37478.565485223575, 15651.344958615999] (2) [37034, 15788]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37478.565485223575, 15651.344958615999] (2) [37034, 15788]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37447.7365961765, 15654.189688454779] (2) [37034, 15788]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37447.7365961765, 15654.189688454779] (2) [36811, 15867]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37173.93148615552, 15671.92960038703] (2) [36811, 15867]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37173.93148615552, 15671.92960038703] (2) [36708, 15907]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37029.223912636255, 15677.28266425213] (2) [36708, 15907]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [37029.223912636255, 15677.28266425213] (2) [36708, 15907]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36979.219465850125, 15678.691861365427] (2) [36708, 15907]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36979.219465850125, 15678.691861365427] (2) [36585, 15934]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36934.400868947865, 15689.097969855882] (2) [36585, 15934]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36454.33537376565, 15802.411495370407] (2) [36128, 15888]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36454.33537376565, 15802.411495370407] (2) [36128, 15888]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36457.23493430904, 15783.416784506111] (2) [36094, 15880]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36457.23493430904, 15783.416784506111] (2) [36094, 15880]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36417.51010398323, 15767.68607206466] (2) [36022, 15862]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36406.05608762722, 15761.125409681472] (2) [36022, 15862]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36406.05608762722, 15761.125409681472] (2) [35946, 15853]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36406.05608762722, 15761.125409681472] (2) [35946, 15853]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36289.65841332705, 15748.702498539009] (2) [35854, 15843]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36248.895919760966, 15743.81538828893] (2) [35854, 15843]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36248.895919760966, 15743.81538828893] (2) [35745, 15842]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36236.39328921949, 15741.741486684836] (2) [35745, 15842]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [36236.39328921949, 15741.741486684836] (2) [35644, 15851]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35997.659219424895, 15723.831740620712] (2) [35644, 15851]
